SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,ELECTCAST,Electrosteel Cast Ltd., ,05/09/2015,11/09/2015,03/09/2015, , ,AGM/DIV-RE 0.65 PER SHARE
EQ,VLSFINANCE,VLS Finance Ltd., ,17/09/2015,24/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BEML,BEML Limited, ,09/09/2015,15/09/2015,07/09/2015, , ,DIV-RE 1 PER SHARE       
EQ,ZODJRDMKJ,Zodiac JRD- MKJ Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,AGM/DIV-RE 0.50 PER SHARE
EQ,NEPCTEX,NEPC Textiles Ltd, ,23/09/2015,26/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NOVAIRNSTL,Nova Iron And Steel Ltd, ,19/09/2015,25/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,MURUDCERA,Murudeshwar Ceram Ltd, ,16/09/2015,26/09/2015,14/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KAMATHOTEL,Kamat Hotels (I) Ltd, ,01/09/2015,12/09/2015,28/08/2015, , ,ANNUAL GENERAL MEETING   
EQ,TNTELE,Tamilnadu Telecomm Ltd, ,18/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,EASTSILK,Eastern Silk Indust. Ltd., ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,HINDDORROL,Hindustan Dorr-Oliver Ltd, ,17/09/2015,23/09/2015,15/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,TOKYOPLAST,Tokyo Plast Intl Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,RICOAUTO,Rico Auto Industries Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV RS 2/- PER SHARE 
EQ,IOC,Indian Oil Corp. Ltd., ,08/09/2015,15/09/2015,04/09/2015, , ,AGM/DIV-RS 6.60 PER SHARE
EQ,NARMADASUG,Girdharilal Sug & Allied, ,21/09/2015,30/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,NKIND,Nk Industries Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,UCALFUEL,Ucal Fuel Systems Ltd, ,24/09/2015,30/09/2015,22/09/2015, , ,AGM/DIV-RS 2 PER SHARE   
EQ,UNIVCABLES,Universal Cables Ltd,18/09/2015, , ,16/09/2015, , ,RIGHTS 1:2@PREM RS 41    
EQ,HINDCOMPOS,Hindustan Composites Ltd, ,12/09/2015,18/09/2015,10/09/2015, , ,AGM/DIV RE 1/- PER SHARE 
EQ,JENSONICOL,Jenson & Nicholson(I)Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,BSL,BSL Ltd, ,15/09/2015,21/09/2015,11/09/2015, , ,AGM/DIV-RS 1.20 PER SHARE
EQ,JYOTISTRUC,Jyoti Structures Ltd, ,19/09/2015,26/09/2015,16/09/2015, , ,ANNUAL GENERAL MEETING   
EQ,KALPATPOWR,Kalpataru Pow Trans Ltd, ,23/09/2015,29/09/2015,21/09/2015, , ,AGM/DIV-RS 1.50 PER SHARE
EQ,TFCILTD,Tourism Finance Corp , ,12/09/2015,21/09/2015,10/09/2015, , ,AGM/DIV-RE 0.80 PER SHARE
